"symbol__gene_id","gene_id","module_color","module","A68ShootFlight","A68ShootFlight1","A68ShootFlight2","A68ShootFlight3","A68ShootGround","A68ShootGround1","A68ShootGround2","A68ShootGround3","D130ShootFlight","D130ShootFlight1","D130ShootFlight2","D130ShootFlight3","D130ShootGround","D130ShootGround1","D130ShootGround2","D130ShootGround3","WTShootFlight","WTShootFlight1","WTShootFlight2","WTShootFlight3","WTShootGround","WTShootGround1","WTShootGround2","WTShootGround3","band","chromosome_name","start_position","percentage_gc_content","transcript_count","gene_biotype","description","entrezgene_id","genomeSpan","cds_length","transcript_length","FiveUTR","ThreeUTR","nExons","symbol","set"
"NA__GOHIR.A09G002700","GOHIR.A09G002700","turquoise","1",6.52279706182825,6.55338869831796,4.74030984265121,6.54882456120878,6.28023880284379,7.69467005994783,4.22094136269604,5.62492874752734,6.30404344247749,6.97583420973474,4.16838123875619,8.27721992584897,5.76651530087573,5.25718507146975,8.64807252385411,5.71520046361746,5.74512198312984,3.11175116310498,4.13895953530986,7.9083095780114,7.02129446976551,5.96056323789466,4.76664513453441,5.20791033887323,NA,"A09",783899,NA,1,"protein_coding","DNA replication licensing factor MCM2 (MCM2)",NA,6243,2808,6243,61,403,17,NA,"List"
"NA__GOHIR.A09G016100","GOHIR.A09G016100","turquoise","1",6.60176838340397,6.67292148490316,4.67425236564362,6.28610833202936,6.03969774626767,7.65974236501389,3.26810619600039,5.58762403655308,6.30404344247749,7.15965839015347,3.8565437518839,8.03816202912548,4.52883790385157,4.24656186090393,7.46051448980162,5.51609301143606,6.48758942006821,3.25899741217106,3.80594922847068,7.74138411611055,6.7117582568998,5.72137444013409,3.51484206690889,4.35615958972902,NA,"A09",4171608,NA,1,"protein_coding","STRUCTURAL MAINTENANCE OF CHROMOSOMES PROTEIN",NA,8117,3531,8117,58,199,27,NA,"List"
"NA__GOHIR.A09G019000","GOHIR.A09G019000","turquoise","1",6.91176404568172,8.87185432269215,5.96845351140603,6.94076311073967,7.56496115741603,9.2878785198354,5.15175029049025,5.38509474640965,7.04635923778705,7.98960459261099,5.75749495437015,7.6045289382243,6.35226810237691,6.02232868406904,8.21358159765406,5.36623856008471,7.07529499396896,4.00676581309357,4.87871749457648,7.18500875214725,8.26859789990893,7.38309921585986,5.656550306235,5.42109677721747,NA,"A09",5743576,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,6245,3750,6245,377,280,10,NA,"List"
"NA__GOHIR.A09G088100","GOHIR.A09G088100","turquoise","1",7.39456444872079,5.97317615846962,3.76234000623057,6.11416930318649,5.57078755780668,6.92216084840906,2.35804782158611,4.92852099589995,6.11990706330713,7.82251494376651,3.2965032520356,7.66190132665932,5.30166836640557,3.76885131431433,7.92155217721421,4.84958594126195,6.75199601443566,2.30125471211252,3.49349509290103,7.78682590183462,6.58700704151165,4.09440234949898,3.9208699371506,3.97925607590045,NA,"A09",63615630,NA,1,"protein_coding","histone H2B (H2B)",NA,1694,426,1694,128,1140,1,NA,"List"
"NA__GOHIR.A09G088200","GOHIR.A09G088200","turquoise","1",7.35521862967122,6.51123745113719,3.76234000623057,6.47174411884624,6.07016854678085,7.4024042827513,3.08865834514957,4.92852099589995,6.24984741252953,7.64895854434032,3.2965032520356,8.08085812189449,5.57353139002674,4.16284475288014,8.504491383304,5.71520046361746,6.75199601443566,2.30125471211252,3.37225007491313,8.00120266681359,6.78930919026047,5.07603513478766,4.49676618994051,4.5131459303441,NA,"A09",63623810,NA,1,"protein_coding","histone H2B (H2B)",NA,853,426,853,185,242,1,NA,"List"
"NA__GOHIR.A09G107700","GOHIR.A09G107700","turquoise","1",3.84269772843192,5.01776022413024,2.6763755803175,3.67442448028683,3.36722730504187,5.33411478502018,2,2.39497372632075,4.3750940262865,4.94142141702039,4.83118365400721,6.5668015303718,2.74981818715564,2.85008600481449,5.11068037686576,2.88482181931061,2,2.30125471211252,3.49349509290103,5.34054807614811,4.089538926568,4.59798327751573,2.30124748019155,2.37216058689913,NA,"A09",67913746,NA,1,"protein_coding","POT family (PTR2)",NA,6212,909,6212,557,10,5,NA,"List"
"NA__GOHIR.A09G109200","GOHIR.A09G109200","turquoise","1",5.71431476093904,7.29898462620517,4.19809144001549,5.48915239246326,6.42872248847454,8.07648286071742,3.70200287017715,6.31434333376933,6.419017019915,6.22030123143021,3.96814831396196,8.15123420167882,5.39809483697763,4.60482721735636,7.64905825335348,5.61907888656356,5.74512198312984,2,4.87871749457648,7.4714159655167,6.98329691475412,6.28048744747163,4.86188681498821,6.22167472301985,NA,"A09",68071483,NA,1,"protein_coding","CYCLIN-B1-4",NA,2881,1224,2881,275,340,8,NA,"List"
"NA__GOHIR.A09G140300","GOHIR.A09G140300","turquoise","1",5.78370077335357,5.89337507873864,2.92385636079773,5.17585029151347,4.72614756757899,6.83091251327802,2.35804782158611,4.51696877592419,5.14227804425653,5.64298863708882,2.66223396262617,7.01347621863136,4.44102548525816,4.07396878924509,6.86442496010636,4.22290501778909,6.81116398465011,2,3.60533583869366,6.62531018149451,5.49194915300525,4.73314430680075,3.51484206690889,3.86734593279447,NA,"A09",73699282,NA,1,"protein_coding","125 KDA KINESIN-RELATED PROTEIN-RELATED",NA,6538,3030,6538,176,358,23,NA,"List"
"NA__GOHIR.A09G162600","GOHIR.A09G162600","turquoise","1",5.74942486454421,6.73833296385344,3.31921301700808,5.35822368125737,5.09552962969677,6.73350084045353,3.4276825686727,5.34093899907457,5.70231042094778,5.76145058928507,3.4581686629732,7.39813760478117,3.43506967371852,4.16284475288014,6.84585337194788,4.30757538124165,4.13233107114161,2.55034042698888,4.5833223916525,6.22413151411972,5.72031150357604,4.79625498081983,4.08777918202374,5.339562310606,NA,"A09",76421788,NA,1,"protein_coding","TUBULIN ",NA,1872,1338,1872,72,294,3,NA,"List"
"NA__GOHIR.A09G199400","GOHIR.A09G199400","turquoise","1",6.49203158162569,3.3341300574774,2.6763755803175,4.7228098825423,4.64750096391682,5.39201185147178,2.35804782158611,2.95958948430318,6.08937020026755,6.92597006520027,3.96814831396196,7.73246424689994,4.14009296602165,2,5.23005840031487,4.22290501778909,5.74512198312984,2.76268627686853,2,6.46681597907672,4.9092432667126,3.13044981286818,2.55032825666491,2.37216058689913,NA,"A09",80480179,NA,1,"protein_coding","TRANSCRIPTION FACTOR BHLH71-RELATED",NA,2701,888,2701,319,1357,3,NA,"List"
"NA__GOHIR.A09G211400","GOHIR.A09G211400","turquoise","1",4.50806778601628,4.13110218213171,2,4.55358985866488,4.47604509132653,5.85007637670651,2,2,4.65079645120433,6.1350883065384,2,6.46916052789617,3.60632031527194,2,6.37481429576966,3.82359026799331,4.73127487487708,2,2,6.55700818451929,4.88589518391315,3.47710988791868,2,2,NA,"A09",81573266,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,814,225,814,240,251,2,NA,"List"
"NA__GOHIR.A10G016600","GOHIR.A10G016600","turquoise","1",5.58422948518319,6.73833296385344,4.19809144001549,5.32354683492225,5.09552962969677,6.96093404059467,2.64466924019999,5.29538901705356,5.55364943195687,5.57989833292704,2.66223396262617,7.55346870109937,3.75938304448423,3.8778860690021,6.85516904946537,4.38755079317136,4.46266419658292,2.30125471211252,4.21145014290031,6.35057066927742,6.01749687614955,5.47363029579888,4.08777918202374,5.16121409872378,NA,"A10",1478138,NA,1,"protein_coding","kinesin family member C1 (KIFC1)",NA,5018,2409,5018,218,266,17,NA,"List"
"NA__GOHIR.A10G039500","GOHIR.A10G039500","turquoise","1",5.41960684055039,5.54208942627259,3.31921301700808,5.52010872263996,4.80072758576051,6.84134093271923,3.57135297758271,4.86757553066045,4.69202820991168,5.97266423547777,2.90596453624025,7.26693560144428,4.68989114648585,3.76885131431433,7.04622544054644,5.05946778484332,4.73127487487708,2.76268627686853,3.49349509290103,6.50357220309631,6.17026028844864,5.12602366595328,3.82956696539905,4.35615958972902,NA,"A10",3648373,NA,1,"protein_coding","DNA replication licensing factor MCM3 (MCM3)",NA,4906,2277,4906,152,384,16,NA,"List"
"NA__GOHIR.A10G046100","GOHIR.A10G046100","turquoise","1",4.83666190547717,5.58336147517064,2,3.78050607158505,4.83661993606313,6.18088716210179,2.35804782158611,2,5.43722542712701,6.32019325098071,2,5.84742350974809,3.60632031527194,2.85008600481449,5.14146365633317,3.70373453095884,2,2,2,5.7906596991247,5.22051512505683,5.3528773670162,2,2,NA,"A10",4661086,NA,8,"protein_coding","HOMEODOMAIN-LIKE SUPERFAMILY PROTEIN-RELATED",NA,2111,874,2042,122,555,3,NA,"List"
"NA__GOHIR.A10G051000","GOHIR.A10G051000","turquoise","1",5.65999358255625,4.33817455199639,2.6763755803175,4.05869976336691,4.3820163839095,5.76499121815803,2,3.68006851716664,4.73211424680523,6.15686801865749,2.90596453624025,5.96930795316727,4.14009296602165,3.04973148124057,6.63489215956464,3.70373453095884,4.13233107114161,2,3.0941105701702,5.95891491704497,5.58187319294735,3.75639983425102,2.94773176571744,3.61354485408319,NA,"A10",5361827,NA,1,"protein_coding","histone H3 (H3)",NA,789,411,789,76,302,1,NA,"List"
"NA__GOHIR.A10G051100","GOHIR.A10G051100","turquoise","1",7.07980639374042,4.64150122282358,2.92385636079773,3.43553613284969,3.26556647560009,4.35880918980595,2,3.17611545219082,3.67124129487916,6.8207530993543,2,5.28414818982593,3.0160479299037,2.34202686779743,5.36660344533809,3.08998308067961,4.73127487487708,2.76268627686853,2.74922408898782,5.93220003611544,4.12984921369922,3.31416711239318,2.76267051994353,2.37216058689913,NA,"A10",5366631,NA,1,"protein_coding","histone H3 (H3)",NA,744,411,744,84,249,1,NA,"List"
"NA__GOHIR.A10G051200","GOHIR.A10G051200","turquoise","1",6.7736290544297,6.00390033190607,3.62920243250671,6.00897920714444,6.10000907013175,6.98934504869797,3.08865834514957,4.66757876785842,6.11990706330713,7.14883067508408,3.4581686629732,7.61701654581618,5.39809483697763,4.40069586355624,8.37771345069699,5.05946778484332,6.06980362212107,2.94775024566816,3.49349509290103,7.79426230027832,6.87481202417617,4.73314430680075,3.73209302044089,4.08310675211079,NA,"A10",5368450,NA,1,"protein_coding","histone H3 (H3)",NA,787,411,787,78,298,1,NA,"List"
"NA__GOHIR.A10G065000","GOHIR.A10G065000","turquoise","1",5.07673917142437,6.27975614568278,3.62920243250671,5.01129046247633,5.28929587232248,6.60475299555945,3.26810619600039,4.34878326179343,4.88216983478994,5.08465600951061,2.90596453624025,7.26693560144428,4.52883790385157,3.76885131431433,6.42572266981716,4.38755079317136,4.13233107114161,2,3.37225007491313,6.010904900747,5.69366622922419,5.47363029579888,3.51484206690889,4.72060781132909,NA,"A10",7868223,NA,1,"protein_coding",NA,NA,2760,2079,2760,97,347,3,NA,"List"
"NA__GOHIR.A10G072000","GOHIR.A10G072000","turquoise","1",7.38900888925861,7.1071500769359,4.45572797148468,6.30400667379184,6.24060078852361,7.06248110448703,3.9324029322246,4.25671654395696,6.13493648120295,6.95111755974022,4.34418043100655,7.08713273632074,4.68989114648585,3.65089734552499,7.56639695785392,5.28503881379777,8.67986840101321,3.51486701358104,4.06263292057164,7.34546750839119,6.46626711069847,4.52533714066727,3.62755307871061,4.08310675211079,NA,"A10",11121668,NA,1,"protein_coding","ribonucleoside-diphosphate reductase subunit M2 (RRM2)",NA,1217,990,1217,46,181,1,NA,"List"
"NA__GOHIR.A10G087300","GOHIR.A10G087300","turquoise","1",6.79898682060197,5.60356302071636,2.6763755803175,5.01129046247633,5.31496859126924,6.24512943291601,2.88367650908263,4.05282907357671,5.59770980602349,7.04754068008463,3.4581686629732,7.06299599922383,4.34751979078453,3.2250778495991,7.38534667529838,4.03701925339726,3.70317544760233,2.30125471211252,2.74922408898782,6.40986381740276,6.10097801846049,4.66714605886763,4.61084352918994,3.86734593279447,NA,"A10",16810140,NA,1,"protein_coding","histone H3 (H3)",NA,640,411,640,77,152,1,NA,"List"
"NA__GOHIR.A10G109600","GOHIR.A10G109600","turquoise","1",4.8036356967005,6.09233182702924,2,5.09591540392231,4.9058319775982,6.27620871990772,2.88367650908263,4.25671654395696,5.31057481280941,4.94142141702039,2,7.10497392612275,5.19833239774204,3.76885131431433,6.19574046286659,4.30757538124165,5.61833775063958,2,3.37225007491313,5.84895248872375,5.55251691389839,5.2210865779634,3.25897507141247,4.72060781132909,NA,"A10",28498581,NA,1,"protein_coding","PHRAGMOPLAST-ASSOCIATED KINESIN-RELATED PROTEIN 2",NA,4331,2559,4331,91,710,6,NA,"List"
"NA__GOHIR.A10G164700","GOHIR.A10G164700","turquoise","1",5.48356160406454,4.92448270181829,2.92385636079773,4.05869976336691,4.47604509132653,5.89080830522273,2,3.36434498206047,4.60835154579687,5.47976732791705,2.90596453624025,6.37426996199307,3.75938304448423,3.38140341602474,6.18099909637896,4.03701925339726,5.74512198312984,2,3.23987283799798,5.53062604206179,5.27545222371057,3.87808073440553,2.30124748019155,4.17998122591575,NA,"A10",96377234,NA,2,"protein_coding","condensin-2 complex subunit D3 (NCAPD3)",NA,5881,3996,5880,192,227,9,NA,"List"
"NA__GOHIR.A10G171000","GOHIR.A10G171000","turquoise","1",8.1132603797734,8.91290593827026,6.02255028598954,8.72749318957303,8.42551073028493,7.07136782876279,8.46473403829875,5.86210508036309,7.99994405874301,8.08924480951023,7.40462103646071,8.75882569487054,8.76407250871691,8.50608361797755,7.92597941864912,8.87353868387009,7.72497435472132,4.81508469489884,4.06263292057164,8.8362754376178,6.80183853237063,9.89998508327012,8.36641855676858,6.95501287083161,NA,"A10",100594066,NA,1,"protein_coding","choline dehydrogenase (betA, CHDH)",NA,6428,1671,6428,76,310,4,NA,"List"
"NA__GOHIR.A10G185800","GOHIR.A10G185800","turquoise","1",4.42363915428117,6.52189128037979,3.62920243250671,5.48915239246326,7.388802208074,8.16216776895113,4.60179808311366,5.38509474640965,5.68198822676686,4.72521964020813,4.57325705611517,7.28269760112849,5.30166836640557,6.43297823050087,7.96091659615202,5.153968691874,5.4793287676953,2.94775024566816,4.92256377694958,5.3806199859311,7.69408223248786,5.26636778164258,5.8077390411161,4.35615958972902,NA,"A10",105685183,NA,1,"protein_coding","ASPARTYL PROTEASES ",NA,1962,1278,1962,67,351,3,NA,"List"
"NA__GOHIR.A10G219600","GOHIR.A10G219600","turquoise","1",8.42695380889633,8.77720562653124,5.79281123346184,7.89363400672243,7.81483243151948,9.34945035513127,4.8474335402701,6.90556900234768,8.32556779078001,8.87686631284605,4.99826315077634,10.0332959620874,6.95371034579988,6.02232868406904,9.39479370761974,6.79737572083223,7.4174853314732,4.23739536021525,5.72857297977883,9.42782094749517,8.22041120438683,7.5931588615558,6.04945928305956,6.73352816650626,NA,"A10",114493996,NA,2,"protein_coding","DNA topoisomerase II [EC:5.99.1.3] (TOP2)",NA,6693,4376,6665,81,200,19,NA,"List"
"NA__GOHIR.A10G230400","GOHIR.A10G230400","turquoise","1",6.32751907370503,7.30516541803786,3.48251761949464,6.15418782476744,6.48634708604548,7.97121119641607,4.38552936417163,2.95958948430318,6.91321497371418,7.59413877658331,3.6035298674839,7.83935415061909,5.76651530087573,5.41024619632058,6.19574046286659,6.18688953299513,5.74512198312984,2.94775024566816,2.74922408898782,7.58724642128658,7.03727768995357,6.9964347069888,4.30671728749097,3.46766464473211,NA,"A10",116168527,NA,4,"protein_coding","LEUCINE-RICH REPEAT-CONTAINING PROTEIN ",NA,9118,3465,7127,71,893,8,NA,"List"
"NA__GOHIR.A10G237800","GOHIR.A10G237800","turquoise","1",5.81718120906812,7.60982468071114,4.60502453520911,5.39208655591041,5.96058031145273,7.35224177051799,3.26810619600039,6.38127542785664,6.17910754469486,4.83736673489457,5.66113669243418,7.56210522541421,4.52883790385157,4.89158776264781,6.43817394529037,4.66934388547027,2,3.11175116310498,4.34634180179301,6.76810297508499,6.58700704151165,5.43449165955551,5.75908222179978,5.46019870372441,NA,"A10",117425047,NA,2,"protein_coding","FAMILY NOT NAMED ",NA,2687,2324,2686,40,212,2,NA,"List"
"NA__GOHIR.A11G003300","GOHIR.A11G003300","turquoise","1",4.18803734206838,6.80090688967211,3.31921301700808,4.49246508104013,5.20941727397945,6.66470246349499,2.88367650908263,3.68006851716664,4.47296698273301,4.66569794417924,3.2965032520356,5.68295094349585,4.14009296602165,2.85008600481449,6.33541833604287,3.57301184382607,5.15325254143213,2.76268627686853,2.29509157594312,4.3202915549514,5.83447613298244,5.26636778164258,2.94773176571744,3.46766464473211,NA,"A11",307366,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,1277,738,1277,176,282,2,NA,"List"
"NA__GOHIR.A11G024000","GOHIR.A11G024000","turquoise","1",5.84990225835087,7.44607600313648,3.88422247656276,6.35640675946537,6.44043301264101,7.94727291019575,3.4276825686727,5.95291736806894,6.5140496700863,5.89703605458915,3.96814831396196,8.51596974667856,5.53163147737594,4.7836231899045,7.82054871305496,5.89013181916756,5.96948175780703,2.55034042698888,4.4696925119289,7.55258644792318,7.48467721561633,6.34522855976163,5.45746367869562,5.57152142123965,NA,"A11",2080584,NA,1,"protein_coding","upstream-binding transcription factor (UBTF)",NA,2061,1482,2061,93,187,4,NA,"List"
"NA__GOHIR.A11G050500","GOHIR.A11G050500","turquoise","1",4.42363915428117,5.47787939396547,2.92385636079773,4.77507581698525,4.72614756757899,6.06108303566441,2.35804782158611,5.04319272097915,4.15685003319907,4.39951939632872,2.66223396262617,7.01975994659739,3.43506967371852,2.85008600481449,6.15105664044187,4.30757538124165,5.15325254143213,2,3.23987283799798,5.53062604206179,5.49194915300525,4.44883807723355,3.9208699371506,3.97925607590045,NA,"A11",5141004,NA,1,"protein_coding","STRUCTURAL MAINTENANCE OF CHROMOSOMES SMC FAMILY MEMBER ",NA,3889,3027,3889,170,186,2,NA,"List"
"NA__GOHIR.A11G091200","GOHIR.A11G091200","turquoise","1",5.71431476093904,5.68165395644968,2.92385636079773,4.42863552028493,5.03502676529683,7.22262366874797,4.13102470713422,7.88129904577823,5.8733733797921,6.11297474965194,3.73557628210589,7.29311073669024,3.60632031527194,4.32568629639498,7.53195907257533,4.38755079317136,2,2.30125471211252,5.59945824640056,5.21318739998855,5.8942027775277,4.66714605886763,4.61084352918994,5.6067986107972,NA,"A11",8995604,NA,1,"protein_coding","POLYGALACTURONASE-LIKE PROTEIN",NA,2465,1449,2465,166,167,6,NA,"List"
"NA__GOHIR.A11G109800","GOHIR.A11G109800","turquoise","1",7.26103956375443,6.87756606670933,4.74030984265121,6.40697013922894,6.36870012603796,7.87297838420912,4.38552936417163,5.92327723882916,6.7568389831618,7.5699915542878,4.07173580493983,8.1397406825463,5.80219705217479,4.60482721735636,7.98233034963908,6.021271649939,6.25166983697326,3.51486701358104,4.5833223916525,7.80166056414918,6.97778606502966,6.16567850113304,4.86188681498821,5.11295572100678,NA,"A11",11844968,NA,1,"protein_coding","DNA replication licensing factor MCM7 (MCM7, CDC47)",NA,6115,2157,6115,201,371,15,NA,"List"
"NA__GOHIR.A11G118600","GOHIR.A11G118600","turquoise","1",5.67832884283893,4.92448270181829,3.13503548238283,4.82551427485379,4.72614756757899,5.62714417346732,2.64466924019999,3.36434498206047,5.33681003713604,6.17832381627949,3.73557628210589,6.92919502157088,3.0160479299037,2.34202686779743,5.79223321813115,3.57301184382607,4.46266419658292,2.55034042698888,3.0941105701702,6.17939664488241,4.41724324078622,4.36805438990209,3.51484206690889,3.61354485408319,NA,"A11",13280284,NA,1,"protein_coding","RhoGAP domain (RhoGAP) ",NA,2822,1392,2822,86,333,4,NA,"List"
"NA__GOHIR.A11G151300","GOHIR.A11G151300","turquoise","1",4.6634077418206,5.73756762960336,2.37746796713408,3.14908589167165,3.78967829404287,6.16436944627467,2,2,3.58631380713011,4.94142141702039,2,6.04519514892533,3.43506967371852,2.34202686779743,5.51503768179865,3.42925339053519,2,2,2,5.07348505553661,4.57155036201849,5.26636778164258,2,2,NA,"A11",19295622,NA,7,"protein_coding","SET DOMAIN PROTEINS ",NA,16168,3190,16105,173,419,18,NA,"List"
"NA__GOHIR.A11G173800","GOHIR.A11G173800","turquoise","1",5.71431476093904,6.80962852034891,3.31921301700808,5.13643639238027,5.85953014889882,6.94167769683754,2.35804782158611,4.43532545926247,5.57584781471652,6.4842263372844,2.66223396262617,7.49152054589653,4.76414179767502,4.16284475288014,6.90983418126493,4.53531655242501,3.08955533621585,2.76268627686853,3.80594922847068,6.55700818451929,6.38532838078579,5.87544624212007,3.25897507141247,4.58566567762675,NA,"A11",24434747,NA,1,"protein_coding","PROTEIN MALE STERILE 5",NA,2080,1437,2080,162,243,4,NA,"List"
"NA__GOHIR.A11G204300","GOHIR.A11G204300","turquoise","1",6.4392513440135,5.38756331995061,2.37746796713408,5.21421599037314,5.31496859126924,6.43611783573526,3.4276825686727,2,5.70231042094778,6.87432056502973,2.90596453624025,6.72898842507024,4.34751979078453,3.04973148124057,5.84928824783875,4.6038860631746,4.73127487487708,2.30125471211252,2.74922408898782,6.13323013306779,5.63885228199188,4.36805438990209,2.94773176571744,2.66773722629564,NA,"A11",51080090,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,2021,879,2021,548,443,3,NA,"List"
"NA__GOHIR.A11G215400","GOHIR.A11G215400","turquoise","1",6.04621219850379,6.00390033190607,3.31921301700808,5.17585029151347,4.72614756757899,6.35109819829235,3.70200287017715,3.36434498206047,5.41276918314321,6.1350883065384,2.36878579064934,6.95565599477054,4.024005446112,3.52243390118707,6.25324430826565,4.30757538124165,5.15325254143213,2.30125471211252,4.52762588059646,6.28873580448474,5.78484808122929,5.26636778164258,3.11173054532276,3.61354485408319,NA,"A11",62415136,NA,1,"protein_coding","condensin-2 complex subunit G2 (NCAPG2, LUZP5)",NA,5265,3720,5265,27,172,5,NA,"List"
"NA__GOHIR.A11G218300","GOHIR.A11G218300","turquoise","1",3.63309443821026,4.38561054574987,8.24914261563394,6.98581369044412,7.52702142715271,6.69951171509539,6.88023154965699,5.58762403655308,6.05817297470159,4.16171756553127,4.94469150456866,4.56918335775494,9.27011497075866,8.95497118646005,7.18567389864876,8.05453362793756,6.25166983697326,8.32526985849373,8.33385237812282,6.28873580448474,5.96275655507084,8.10409304217866,6.14723170201845,7.07322719669515,NA,"A11",65026209,NA,1,"protein_coding","EXTENSIN, PROLINE-RICH PROTEIN ",NA,877,294,877,115,309,2,NA,"List"
"NA__GOHIR.A11G243300","GOHIR.A11G243300","turquoise","1",4.58782750339681,5.13343139942556,3.31921301700808,6.17378836604476,6.28023880284379,6.06108303566441,4.03512925843078,4.05282907357671,5.14227804425653,5.03847337557801,4.83118365400721,8.46392148596105,6.20008942394557,5.41024619632058,6.62403399814436,6.29453283196822,3.70317544760233,2,2,6.50357220309631,5.66651956600146,5.58505223343036,5.07565271735291,4.17998122591575,NA,"A11",102997206,NA,1,"protein_coding","ZINC FINGER FYVE DOMAIN CONTAINING PROTEIN ",NA,1931,1113,1931,86,263,5,NA,"List"
"NA__GOHIR.A11G264000","GOHIR.A11G264000","turquoise","1",2.71957797689432,3.01017545544712,5.82361038885912,5.55041474322743,6.11470102209079,4.10553539555896,7.12113350554506,5.46954766184308,4.77111651735779,5.17280961073452,6.25236023877331,2.88436690910893,5.53163147737594,5.61312110508656,5.25842087565989,5.83414546802507,5.32548353261474,5.29633890506098,3.23987283799798,2.36211567114277,5.73345184170188,5.87544624212007,6.34151491556788,5.83218491012411,NA,"A11",111655313,NA,2,"protein_coding","Amidase / Acylase",NA,2932,1284,2932,184,304,9,NA,"List"
"NA__GOHIR.A11G306100","GOHIR.A11G306100","turquoise","1",5.46255679419731,6.62431388568278,4.2891790075307,5.13643639238027,5.69330132351374,7.1149984303619,2.88367650908263,5.34093899907457,5.53110414361134,5.47976732791705,3.6035298674839,7.66190132665932,5.25092539049674,4.94268399477729,7.48472460335268,4.73196021917035,6.06980362212107,2.94775024566816,3.23987283799798,6.73757021190512,6.44245868394499,5.26636778164258,4.30671728749097,4.95766640945834,NA,"A11",120834452,NA,1,"protein_coding","CYCLIN-B1-4",NA,2367,1428,2367,158,289,5,NA,"List"
"NA__GOHIR.A11G308300","GOHIR.A11G308300","turquoise","1",5.58422948518319,5.71916947099377,2.92385636079773,5.58009721553172,5.18177707261507,6.79916719325354,2.35804782158611,4.66757876785842,4.98528229734967,6.0445245727977,2.66223396262617,7.22404177479352,3.89775296443651,2.34202686779743,6.12047954809446,3.70373453095884,4.73127487487708,2.94775024566816,3.37225007491313,6.75291736526276,5.22051512505683,4.97054112529951,3.25897507141247,4.27075804691125,NA,"A11",121167909,NA,1,"protein_coding","condensin complex subunit 1 (YCS4, CNAP1, CAPD2)",NA,10357,4026,10357,126,314,17,NA,"List"
"NA__GOHIR.A11G313900","GOHIR.A11G313900","turquoise","1",5.60354677580254,4.51922187594752,3.13503548238283,3.97179550085875,4.68736011379323,5.30427097401464,2.64466924019999,3.5308263006631,4.77111651735779,5.61178833173907,2.66223396262617,6.17473239816501,4.9020771580067,2.34202686779743,5.88610873396944,3.08998308067961,5.74512198312984,2.30125471211252,2.53995355894163,5.82010049243668,5.1039363425497,4.85672020051801,3.25897507141247,2,NA,"A11",122307666,NA,1,"protein_coding",NA,NA,2453,774,2453,128,410,3,NA,"List"
"NA__GOHIR.A12G010500","GOHIR.A12G010500","turquoise","1",9.26171497050906,10.4499766742377,4.2891790075307,8.26196348996074,9.05333696332439,7.01720734688947,10.4183885084614,5.79822385029569,9.6240680251833,8.68034545223456,8.17130309908724,7.78136204067733,9.89803262138732,9.38491267158964,7.77219130664585,9.4751346609301,9.80240402869237,2.94775024566816,2.93194882728233,7.46210852155491,7.13953340903662,10.8669588889391,8.34597223048374,7.4964450011901,NA,"A12",1356870,NA,1,"protein_coding","Ferritin-like domain (Ferritin_2)",NA,1435,933,1435,49,288,3,NA,"List"
"NA__GOHIR.A12G076000","GOHIR.A12G076000","turquoise","1",5.54480118720936,6.38853871674574,3.13503548238283,5.91893062320879,6.28023880284379,7.85250289914523,3.08865834514957,5.46954766184308,6.05817297470159,5.78960625823773,3.11440863460451,8.01633059815865,5.44399419616812,3.97925617107348,8.11232933239334,4.66934388547027,6.97536777199592,2.30125471211252,3.49349509290103,7.31477179258018,6.6437876612208,6.40718875432939,3.51484206690889,4.17998122591575,NA,"A12",39779833,NA,1,"protein_coding","FAMILY NOT NAMED ",NA,2720,1248,2720,805,432,3,NA,"List"
"NA__GOHIR.A12G085600","GOHIR.A12G085600","turquoise","1",5.28250705571357,6.21557801509161,3.76234000623057,5.25158780078531,5.69330132351374,6.91230251354542,3.08865834514957,5.14941714476298,5.11221597496395,5.61178833173907,3.8565437518839,7.68975401722094,4.52883790385157,4.32568629639498,6.91874699855411,5.00978988386631,2,2.76268627686853,4.06263292057164,6.53941519020807,6.38532838078579,4.73314430680075,4.37288795999587,5.89060394786677,NA,"A12",63902150,NA,1,"protein_coding","DI-GLUCOSE BINDING PROTEIN WITH KINESIN MOTOR DOMAIN",NA,5866,3213,5866,121,233,19,NA,"List"
"NA__GOHIR.A12G100900","GOHIR.A12G100900","turquoise","1",3.84269772843192,6.71994462512978,7.40157134263256,5.60918128220068,5.75086547982134,4.96599148406973,8.73270623856309,7.45381249526008,6.50250733532611,6.46689470478764,7.05877030996875,4.56918335775494,8.16075127508913,5.79095279323322,7.78199332822685,6.04612752501604,7.45507089404785,7.23611240406044,6.05835434917604,3.8350284653394,6.5354220061772,6.18938285061322,7.06649050648513,8.2873227789808,NA,"A12",78768914,NA,1,"protein_coding","Hydrophobic seed protein (Hydrophob_seed)",NA,672,381,672,67,224,1,NA,"List"
